,original,class1,class2,class3
0,1,1,1,1
1,0,0,0,0
2,1,1,1,1
3,1,1,1,1
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,1,1,1,1
8,1,1,1,1
9,1,1,1,1
10,0,0,0,0
11,1,0,1,1
12,1,1,1,1
13,1,1,1,1
14,1,1,1,1
15,1,1,1,1
16,1,0,1,1
17,1,1,1,1
18,1,1,1,1
19,1,1,1,1
20,1,1,1,1
21,1,1,1,1
22,0,0,0,0
23,1,1,1,1
24,1,1,1,1
25,1,1,0,0
26,1,0,1,1
27,0,0,0,0
28,1,1,1,1
29,1,1,1,1
30,1,0,1,1
31,1,1,1,1
32,0,0,0,0
33,1,1,0,0
34,1,0,1,1
35,1,1,1,1
36,1,1,1,1
37,1,1,1,1
38,1,1,1,1
39,1,1,1,1
40,1,1,1,1
41,1,1,1,1
42,1,1,1,1
43,1,1,1,1
44,1,1,1,1
45,1,1,1,1
46,1,1,1,1
47,1,1,0,0
48,1,1,1,1
49,1,1,1,1
50,1,0,1,1
51,0,1,0,0
52,0,0,0,0
53,1,1,1,1
54,1,1,1,1
55,1,1,1,1
56,1,0,0,0
57,0,0,0,0
58,1,1,1,1
