,original,class1,class2,class3
0,0,0,0,0
1,0,0,0,0
2,1,0,1,0
3,1,1,1,1
4,1,1,1,1
5,1,1,1,1
6,1,1,1,1
7,1,0,1,0
8,1,1,1,1
9,1,1,1,1
10,1,1,1,1
11,1,1,1,1
12,1,1,1,1
13,1,1,1,1
14,1,1,1,1
15,0,0,0,0
16,1,1,1,1
17,1,1,1,1
18,1,1,1,1
19,1,0,1,1
20,0,0,0,0
21,1,1,1,1
22,1,1,1,1
23,1,1,1,1
24,0,0,0,0
25,1,1,1,1
26,1,1,1,1
27,1,1,1,1
28,1,1,1,1
29,0,0,0,0
30,1,1,1,1
31,1,1,1,1
32,1,1,1,1
33,1,1,1,1
34,1,1,1,1
35,1,1,1,1
36,1,1,1,1
37,0,0,0,0
38,1,0,1,0
39,1,0,1,1
40,0,0,0,0
